concept_id,concept_name,vocabulary_id,domain_id
37161130,Tuberculous intermediate uveitis,SNOMED,Condition
37161138,Tuberculous enterocolitis,SNOMED,Condition
37162648,Gingival tuberculosis,SNOMED,Condition
37164700,Tuberculosis of orbit,SNOMED,Condition
37168816,Conjunctivitis caused by Mycobacterium tuberculosis,SNOMED,Condition
37168817,Episcleritis caused by Mycobacterium tuberculosis,SNOMED,Condition
37169423,Tuberculosis of right ear,SNOMED,Condition
37169424,Tuberculosis of left ear,SNOMED,Condition
37169433,Bilateral conjunctivitis of eyes caused by Mycobacterium tuberculosis,SNOMED,Condition
37169434,Conjunctivitis of right eye caused by Mycobacterium tuberculosis,SNOMED,Condition
37169435,Conjunctivitis of left eye caused by Mycobacterium tuberculosis,SNOMED,Condition
37169442,Iridocyclitis of left eye caused by Mycobacterium tuberculosis,SNOMED,Condition
37169443,Iridocyclitis of right eye caused by Mycobacterium tuberculosis,SNOMED,Condition
37169444,Episcleritis of left eye caused by Mycobacterium tuberculosis,SNOMED,Condition
37169445,Bilateral episcleritis of eyes caused by Mycobacterium tuberculosis,SNOMED,Condition
37169447,Episcleritis of right eye caused by Mycobacterium tuberculosis,SNOMED,Condition
37169539,Neonatal tuberculosis,SNOMED,Condition
37170179,Tuberculosis of bilateral knee joints,SNOMED,Condition
37311938,Tuberculosis of placenta,SNOMED,Condition
37312580,Tuberculosis of middle ear,SNOMED,Condition
37312581,Tuberculosis of inner ear,SNOMED,Condition
40480487,Orificial tuberculosis,SNOMED,Condition
40481431,Lady Windermere syndrome,SNOMED,Condition
40489337,Tuberculosis of oropharynx,SNOMED,Condition
40490351,Reinfection pulmonary tuberculosis,SNOMED,Condition
40490395,Tuberculous pleural effusion,SNOMED,Condition
40490814,Relapse pulmonary tuberculosis,SNOMED,Condition
40490822,Tuberculosis of spinal cord,SNOMED,Condition
40491859,Tuberculous arachnoiditis,SNOMED,Condition
40492320,Tuberculosis of abdomen,SNOMED,Condition
40492366,Tuberculous ileitis,SNOMED,Condition
40532149,Tuberculosis of small intestine,SNOMED,Condition
42536586,Myositis caused by Mycobacterium tuberculosis,SNOMED,Condition
42536587,Infection of digestive system caused by Mycobacterium tuberculosis,SNOMED,Condition
42536588,Infection of endocrine gland caused by Mycobacterium tuberculosis,SNOMED,Condition
42536590,Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with tuberculosis,SNOMED,Condition
42536592,Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with tuberculosis,SNOMED,Condition
42536595,Human immunodeficiency virus World Health Organization 2007 stage 4 co-occurrent with tuberculosis,SNOMED,Condition
42539031,Human immunodeficiency virus World Health Organization 2007 stage 3 co-occurrent with tuberculosis,SNOMED,Condition
42710053,Tuberculosis of bone of upper limb,SNOMED,Condition
43021289,Pericarditis with pericardial effusion caused by Mycobacterium tuberculosis complex,SNOMED,Condition
43021293,Constrictive pericarditis caused by Mycobacterium tuberculosis complex,SNOMED,Condition
43021781,Primary tuberculous complex confirmed by culture,SNOMED,Condition
43021782,Primary tuberculous complex confirmed histologically,SNOMED,Condition
43021783,Primary tuberculous complex confirmed by microscopic examination,SNOMED,Condition
43021784,Tuberculoma of spinal cord confirmed,SNOMED,Condition
43021785,Primary tuberculous complex confirmed,SNOMED,Condition
43021786,Primary tuberculous complex with bacteriological or histological examination results unknown,SNOMED,Condition
45757151,Tuberculosis in mother complicating childbirth,SNOMED,Condition
45757271,Tuberculous neuritis,SNOMED,Condition
45763768,Isolated tracheobronchial tuberculosis,SNOMED,Condition
45771090,Respiratory tuberculosis,SNOMED,Condition
45772905,Mycobacterial lymphadenitis,SNOMED,Condition
46269950,Iridocyclitis caused by tuberculosis,SNOMED,Condition
46273571,Extensively drug resistant tuberculosis,SNOMED,Condition
